 Nascidos vivos - Brasil
Nascim p/resid.mãe por Ano do nascimento
Município: 410690 CURITIBA
Período:2000-2024
"Ano do nascimento";"Nascim_p/resid.mãe"
"2000";29031
"2001";27108
"2002";26371
"2003";24856
"2004";25209
"2005";24547
"2006";24735
"2007";24379
"2008";25329
"2009";24868
"2010";25345
"2011";25249
"2012";25079
"2013";24932
"2014";24815
"2015";24506
"2016";23217
"2017";22745
"2018";22112
"2019";21393
"2020";19728
"2021";18575
"2022";18396
"2023";17979
"2024";16872
"Total";587376
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Nascidos Vivos - SINASC
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
 
 * A categorização da "Adequação quantitativa de pré-natal" mostrada na variável "Adeq quant pré-natal" considera o início do
 pré-natal no primeiro trimestre e um mínimo de seis consultas de pré-natal –, sendo gravada em campo chamado Kotelchuck no
 arquivo disponível para download, calculado a partir dos campos “33 – Número de consultas pré-natal” (Mesprenat) e “34 – Mês de gestação em que iniciou o pré-natal” (Consprenat).
 Maiores informações no documento "Saúde Brasil 2017: uma análise da situação de saúde e os desafios para o alcance dos Objetivos de Desenvolvi
 
