ano_obito,idade_anos,ano_nasc,RACACOR,n_obitos
2000,0,1999,1,32
2000,0,1999,4,2
2000,0,1999,NA,12
2000,0,2000,1,240
2000,0,2000,2,3
2000,0,2000,4,9
2000,0,2000,NA,138
2000,1,1998,1,11
2000,1,1998,4,1
2000,1,1998,NA,6
2000,1,1999,1,12
2000,1,1999,NA,6
2000,2,1997,1,6
2000,2,1997,NA,4
2000,2,1998,1,3
2000,2,1998,2,1
2000,2,1998,NA,2
2000,3,1996,1,3
2000,3,1997,1,5
2000,3,1997,4,1
2000,3,1997,NA,3
2000,4,1995,1,2
2000,4,1995,NA,2
2000,4,1996,1,3
2000,4,1996,NA,1
2001,0,2000,1,28
2001,0,2000,4,1
2001,0,2000,NA,13
2001,0,2001,1,232
2001,0,2001,4,12
2001,0,2001,NA,84
2001,1,1999,1,7
2001,1,1999,NA,4
2001,1,2000,1,13
2001,1,2000,NA,11
2001,2,1998,1,3
2001,2,1998,NA,2
2001,2,1999,1,5
2001,2,1999,NA,6
2001,3,1997,1,5
2001,3,1997,NA,1
2001,3,1998,1,1
2001,3,1998,NA,6
2001,4,1996,1,2
2001,4,1996,NA,1
2001,4,1997,1,6
2001,4,1997,NA,1
2002,0,2001,1,17
2002,0,2001,4,1
2002,0,2001,NA,12
2002,0,2002,1,211
2002,0,2002,2,1
2002,0,2002,4,9
2002,0,2002,NA,60
2002,1,2000,1,4
2002,1,2000,NA,3
2002,1,2001,1,8
2002,1,2001,4,1
2002,1,2001,NA,3
2002,2,1999,1,3
2002,2,1999,NA,1
2002,2,2000,1,1
2002,2,2000,NA,2
2002,3,1998,1,5
2002,3,1998,2,2
2002,3,1998,NA,2
2002,3,1999,1,3
2002,3,1999,NA,3
2002,4,1997,1,4
2002,4,1998,1,5
2003,0,2002,1,25
2003,0,2002,4,2
2003,0,2002,NA,12
2003,0,2003,1,224
2003,0,2003,4,11
2003,0,2003,NA,34
2003,1,2001,1,8
2003,1,2001,2,1
2003,1,2001,NA,1
2003,1,2002,1,8
2003,1,2002,NA,5
2003,2,2000,1,7
2003,2,2000,NA,3
2003,2,2001,1,4
2003,2,2001,NA,2
2003,3,1999,1,3
2003,3,1999,NA,1
2003,3,2000,1,10
2003,3,2000,4,1
2003,3,2000,NA,1
2003,4,1998,1,2
2003,4,1998,NA,1
2003,4,1999,1,3
2003,4,1999,NA,1
2004,0,2003,1,26
2004,0,2003,4,1
2004,0,2003,NA,4
2004,0,2004,1,210
2004,0,2004,4,8
2004,0,2004,NA,34
2004,1,2002,1,6
2004,1,2002,NA,2
2004,1,2003,1,10
2004,1,2003,4,1
2004,1,2003,NA,4
2004,2,2001,1,2
2004,2,2001,NA,4
2004,2,2002,1,2
2004,3,2000,1,7
2004,3,2001,1,5
2004,4,1999,1,2
2004,4,1999,4,1
2004,4,1999,NA,1
2004,4,2000,1,3
2004,4,2000,NA,1
2005,0,2004,1,29
2005,0,2004,3,1
2005,0,2004,4,1
2005,0,2004,NA,4
2005,0,2005,1,236
2005,0,2005,2,1
2005,0,2005,4,6
2005,0,2005,5,1
2005,0,2005,NA,14
2005,1,2003,1,8
2005,1,2003,2,1
2005,1,2004,1,8
2005,1,2004,4,1
2005,1,2004,NA,1
2005,2,2002,1,5
2005,2,2002,4,1
2005,2,2003,1,8
2005,3,2001,1,4
2005,3,2001,2,1
2005,3,2002,1,5
2005,3,2002,4,1
2005,4,2000,1,1
2005,4,2000,NA,1
2005,4,2001,1,2
2006,0,2005,1,21
2006,0,2005,4,2
2006,0,2005,NA,4
2006,0,2006,1,207
2006,0,2006,4,8
2006,0,2006,NA,17
2006,1,2004,1,9
2006,1,2005,1,7
2006,1,2005,NA,1
2006,2,2003,1,5
2006,2,2003,NA,1
2006,2,2004,1,6
2006,3,2002,1,2
2006,3,2003,1,5
2006,3,2003,NA,1
2006,4,2001,1,1
2006,4,2002,1,7
2006,4,2002,4,1
2007,0,2006,1,26
2007,0,2006,4,1
2007,0,2006,NA,3
2007,0,2007,1,195
2007,0,2007,3,1
2007,0,2007,4,6
2007,0,2007,NA,24
2007,1,2005,1,5
2007,1,2006,1,6
2007,1,2006,4,2
2007,1,2006,NA,1
2007,2,2004,1,5
2007,2,2004,NA,2
2007,2,2005,1,5
2007,3,2003,1,3
2007,3,2004,1,6
2007,3,2004,NA,1
2007,4,2002,1,3
2007,4,2003,1,4
2007,4,2003,NA,1
2008,0,2007,1,12
2008,0,2007,4,2
2008,0,2007,NA,1
2008,0,2008,1,193
2008,0,2008,4,6
2008,0,2008,NA,36
2008,1,2006,1,2
2008,1,2006,NA,1
2008,1,2007,1,7
2008,1,2007,2,1
2008,2,2005,1,4
2008,2,2005,NA,3
2008,2,2006,1,4
2008,2,2006,4,1
2008,2,2006,NA,1
2008,3,2004,1,1
2008,3,2005,2,1
2008,3,2005,NA,2
2008,4,2003,1,3
2008,4,2004,1,3
2009,0,2008,1,19
2009,0,2008,NA,6
2009,0,2009,1,152
2009,0,2009,4,1
2009,0,2009,NA,45
2009,1,2007,1,6
2009,1,2008,1,7
2009,1,2008,NA,4
2009,2,2006,1,7
2009,2,2006,NA,1
2009,2,2007,1,4
2009,2,2007,4,1
2009,2,2007,NA,3
2009,3,2005,1,1
2009,3,2006,1,3
2009,3,2006,NA,2
2009,4,2004,1,3
2009,4,2004,NA,1
2009,4,2005,1,3
2010,0,2009,1,15
2010,0,2010,1,213
2010,0,2010,4,3
2010,1,2008,1,4
2010,1,2008,2,1
2010,1,2008,4,1
2010,1,2008,NA,1
2010,1,2009,1,6
2010,1,2009,NA,1
2010,2,2007,1,2
2010,2,2008,1,1
2010,2,2008,NA,1
2010,3,2006,1,2
2010,3,2006,2,1
2010,3,2007,1,3
2010,4,2005,1,3
2010,4,2006,4,1
2011,0,2010,1,11
2011,0,2010,NA,4
2011,0,2011,1,184
2011,0,2011,2,2
2011,0,2011,4,2
2011,0,2011,NA,19
2011,1,2009,1,3
2011,1,2009,4,1
2011,1,2009,NA,1
2011,1,2010,1,6
2011,1,2010,NA,5
2011,2,2008,1,2
2011,2,2008,4,1
2011,2,2008,NA,1
2011,2,2009,1,2
2011,2,2009,4,1
2011,3,2007,1,1
2011,3,2008,1,2
2011,3,2008,NA,1
2011,4,2006,1,2
2011,4,2007,1,1
2011,4,2007,NA,1
2012,0,2011,1,21
2012,0,2011,4,1
2012,0,2011,NA,5
2012,0,2012,1,174
2012,0,2012,2,3
2012,0,2012,4,2
2012,0,2012,NA,32
2012,1,2010,1,3
2012,1,2010,NA,3
2012,1,2011,1,8
2012,1,2011,NA,4
2012,2,2009,1,5
