 Mortalidade - Brasil
Óbitos p/Residênc por Ano do Óbito e Faixa Etária
Município: 410690 CURITIBA
Faixa Etária OPS: Menor 1 ano, 1 a 4 anos
Período:2000-2024
"Ano do Óbito";"Menor 1 ano";"1 a 4 anos";"Total"
"2000";436;72;508
"2001";370;74;444
"2002";311;50;361
"2003";308;62;370
"2004";283;51;334
"2005";293;48;341
"2006";259;46;305
"2007";256;44;300
"2008";250;34;284
"2009";223;46;269
"2010";231;28;259
"2011";222;31;253
"2012";238;36;274
"2013";220;34;254
"2014";192;23;215
"2015";220;24;244
"2016";201;41;242
"2017";189;33;222
"2018";183;30;213
"2019";139;32;171
"2020";140;18;158
"2021";135;20;155
"2022";158;29;187
"2023";142;25;167
"2024";124;26;150
"Total";5723;957;6680
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 e atualizados em 02/12/2025.
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 No dia 01/04/2020, os arquivos do SIM referentes ao ano de notificação 2019 foram atualizados, com alteração das causas básicas de 4 registros e exclusão de 1 registro.
 
