coorte,nascidos_vivos,obitos_total_5,prob_sobrev_5,prob_morte_5
2000,29031,501,0.9827425855120389,0.017257414487961142
2001,27108,405,0.9850597609561753,0.014940239043824688
2002,26371,368,0.9860452770088355,0.013954722991164514
2003,24856,355,0.9857177341486965,0.014282265851303544
2004,25209,334,0.9867507636161689,0.013249236383831131
2005,24547,320,0.9869637837617632,0.013036216238236809
2006,24735,299,0.9879118657772388,0.012088134222761227
2007,24379,272,0.9888428565568728,0.011157143443127238
2008,25329,293,0.9884322318291286,0.011567768170871351
2009,24868,243,0.9902284059835934,0.009771594016406593
2010,25345,269,0.9893864667587295,0.010613533241270456
2011,25249,270,0.9893065071884035,0.010693492811596483
2012,25079,262,0.9895530124805614,0.010446987519438622
2013,24932,235,0.9905743622653618,0.009425637734638226
2014,24815,235,0.9905299214184968,0.009470078581503172
2015,24506,250,0.989798416714274,0.010201583285725957
2016,23217,226,0.9902657535426627,0.009734246457337337
2017,22745,221,0.9902835788085294,0.009716421191470648
2018,22112,207,0.9906385672937771,0.009361432706222916
2019,21393,150,0.9929883606787266,0.007011639321273355
