"ano","sexo","faixa_etaria","obitos","CÓD.","SIGLA","LOCAL","populacao","nMx"
2010,NA,"1-4",20,NA,NA,NA,NA,NA
2010,NA,"10-14",20,NA,NA,NA,NA,NA
2010,NA,"15-19",11,NA,NA,NA,NA,NA
2010,NA,"20-29",16,NA,NA,NA,NA,NA
2010,NA,"30-39",24,NA,NA,NA,NA,NA
2010,NA,"40-49",13,NA,NA,NA,NA,NA
2010,NA,"5-9",22,NA,NA,NA,NA,NA
2010,NA,"50-59",12,NA,NA,NA,NA,NA
2010,NA,"80+",66566,NA,NA,NA,NA,NA
2010,NA,NA,267,NA,NA,NA,NA,NA
2019,NA,"1-4",15,NA,NA,NA,NA,NA
2019,NA,"10-14",20,NA,NA,NA,NA,NA
2019,NA,"15-19",8,NA,NA,NA,NA,NA
2019,NA,"20-29",14,NA,NA,NA,NA,NA
2019,NA,"30-39",14,NA,NA,NA,NA,NA
2019,NA,"40-49",19,NA,NA,NA,NA,NA
2019,NA,"5-9",13,NA,NA,NA,NA,NA
2019,NA,"50-59",14,NA,NA,NA,NA,NA
2019,NA,"80+",74365,NA,NA,NA,NA,NA
2019,NA,NA,84,NA,NA,NA,NA,NA
2021,NA,"1-4",17,NA,NA,NA,NA,NA
2021,NA,"10-14",16,NA,NA,NA,NA,NA
2021,NA,"15-19",8,NA,NA,NA,NA,NA
2021,NA,"20-29",11,NA,NA,NA,NA,NA
2021,NA,"30-39",19,NA,NA,NA,NA,NA
2021,NA,"40-49",21,NA,NA,NA,NA,NA
2021,NA,"5-9",11,NA,NA,NA,NA,NA
2021,NA,"50-59",14,NA,NA,NA,NA,NA
2021,NA,"80+",112399,NA,NA,NA,NA,NA
2021,NA,NA,90,NA,NA,NA,NA,NA
2022,NA,"1-4",14,NA,NA,NA,NA,NA
2022,NA,"10-14",7,NA,NA,NA,NA,NA
2022,NA,"15-19",9,NA,NA,NA,NA,NA
2022,NA,"20-29",11,NA,NA,NA,NA,NA
2022,NA,"30-39",28,NA,NA,NA,NA,NA
2022,NA,"40-49",19,NA,NA,NA,NA,NA
2022,NA,"5-9",12,NA,NA,NA,NA,NA
2022,NA,"50-59",6,NA,NA,NA,NA,NA
2022,NA,"80+",89615,NA,NA,NA,NA,NA
2022,NA,NA,87,NA,NA,NA,NA,NA
2024,NA,"1-4",21,NA,NA,NA,NA,NA
2024,NA,"10-14",11,NA,NA,NA,NA,NA
2024,NA,"15-19",8,NA,NA,NA,NA,NA
2024,NA,"20-29",25,NA,NA,NA,NA,NA
2024,NA,"30-39",17,NA,NA,NA,NA,NA
2024,NA,"40-49",16,NA,NA,NA,NA,NA
2024,NA,"5-9",14,NA,NA,NA,NA,NA
2024,NA,"50-59",15,NA,NA,NA,NA,NA
2024,NA,"80+",88943,NA,NA,NA,NA,NA
2024,NA,NA,52,NA,NA,NA,NA,NA
